StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CF,Qcheck,SV1,SV2,QR33,QR136,QR55,QR1,QR95,QR198,QR144,QR66,QR75,QR0,QR175,QR49,QR6,QR12,QR118,QR28,QR163,QR43,QR152,QR145,QR53,QR182,QR54,QR185,QR9,QR197,QR32,QR20,QR2,QR17,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Before you proceed, please read the following information:



I, the undersigned, understand that my participation in this study involves solving a task. I acknowledge the following:



1. Task Description: The survey consists of two tasks. The first task involves identifying the word that does not belong to the others for some given lists of words. The second task requires assessing the level of relatedness between the words in given sets.

2. Purpose: The survey is part of a research study aiming to evaluate the effectiveness of a machine learning algorithm.

3. Data Collection: No personal information will be collected during this task.

4. Data Usage: The data obtained will be used for research purposes only.

5. Anonymity: Your responses will be anonymized, and no personally identifiable information will be recorded.



Consent Agreement:



By selecting 'Yes' below, I acknowledge that I have read and understood the information provided, and I voluntarily agree to participate in the study.","What is your Prolific ID? 

Please note that this response should auto-fill with the correct ID'",Which of the following languages are you fluent in?,Which of these is the highest level of education you have completed?,"autonomous, cognitive, robotic, detect, sensor, cybersecurity, surveillance, control, detection, drone","carbon_dioxide, synthesis, catalysis, reaction, molecule, energy, chemical, novel, synthetic, enzyme","nuclear_magnetic_resonance, imaging, laser, pulse, ultrafast, x_ray, attosecond, image, microscopy, electron","farming, multi_actor, agriculture, responsible, tourism, transformative, food, heritage, energy, pathway","wine, packaging, plastic, protein, meat, food, positron_emission, shelf_life, ingredient, waste","formaldehyde, emf, umbrella, ion_beam, exposure, risk_factor, amyotrophic_lateral, electrode, metal, metrology","healthcare, clinical, treatment, population, health, patient, disease, outcome, age, child","cell_wall, bacterial, pathogen, microbiota, microbial, microbe, microbiome, resistance, infection, plant","stress, root, energy, arabidopsis, signal, obesity, plant, crop, nutrient, metabolic","collective, multi_actor, rural_area, agriculture, systemic, empowerment, health, farming, consultation, transdisciplinary","list, vault, film, color, hand, contact, equality, virtual_reality, silk, flower","molecule, deoxyribonucleic_acid, single_molecule, chemical, surface, catalysis, self_assembly, electric, nanoparticle, functional","military, indigenous, ethnography, domestic, violent, election, legitimacy, labour, feminist, peace","climate_change, land, forest, biodiversity, flood, ecosystem, uncertainty, tree, ecological, climate","nuclear_magnetic_resonance, tissue, image, positron_emission, tomography, brain, diagnosis, imaging, mr, computed_tomography","inspection, sensor, structure, damage, detection, detect, drone, repair, satellite, gnss","code, waste, energy, fuel, fusion, reactor, radiation_protection, operation, nuclear, plant","quantum, entanglement, qubit, spin, quantum_computing, topology, atom, photon, body, electron","noise, hearing, touch, sound, acoustic, frequency, audio, critical_infrastructure, hear, cochlear_implant","energy, control, renewable, energy_consumption, storage, energy_efficiency, flexibility, renewable_energy, grid, electricity","mechanical, fluid, soft, interface, microstructure, liquid, control, turbulence, flow, particle","taxonomic, genomic, groundwater, lca, lod, island, ontology, biodiversity_ecosystem, biodiversity, permit","entanglement, single_photon, quantum_computer, quantum, qubit, photon, quantum_computing, atom, quantum_dot, quantum_optic","black_sea, heritage, occupational_therapy, transport, monte_carlo, restoration, cycling, tourism, systemic, landscape","emotion, psychological, criminal, philosophy, election, logic, ethic, epistemic, belief, electoral","standard_model, self, road, ar, pension, tes, minimal, titanium_dioxide, lec, paint","renewable_energy, energy, energy_efficiency, turbine, electricity, wind_turbine, wind, grid, smart_grid, renovation","certification, toolbox, digital_twin, blockchain, cybersecurity, marketplace, federation, critical_infrastructure, interoperable, nuclear","smart_specialization, health, critical_mass, coordinator, preparatory_phase, ncps, cofund, university, national_contact, administrative","cognition, brain, semantic, language, linguistic, multilingual, visual, infant, cognitive, speech",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID654""}","{""ImportId"":""QID624_TEXT""}","{""ImportId"":""QID656""}","{""ImportId"":""QID657""}","{""ImportId"":""QID658""}","{""ImportId"":""QID659""}","{""ImportId"":""QID660""}","{""ImportId"":""QID661""}","{""ImportId"":""QID662""}","{""ImportId"":""QID663""}","{""ImportId"":""QID664""}","{""ImportId"":""QID665""}","{""ImportId"":""QID666""}","{""ImportId"":""QID667""}","{""ImportId"":""QID668""}","{""ImportId"":""QID669""}","{""ImportId"":""QID670""}","{""ImportId"":""QID671""}","{""ImportId"":""QID672""}","{""ImportId"":""QID673""}","{""ImportId"":""QID674""}","{""ImportId"":""QID675""}","{""ImportId"":""QID676""}","{""ImportId"":""QID677""}","{""ImportId"":""QID678""}","{""ImportId"":""QID679""}","{""ImportId"":""QID680""}","{""ImportId"":""QID681""}","{""ImportId"":""QID682""}","{""ImportId"":""QID683""}","{""ImportId"":""QID684""}","{""ImportId"":""QID685""}","{""ImportId"":""QID686""}","{""ImportId"":""QID687""}","{""ImportId"":""PROLIFIC_PID""}"
2023-12-18 22:35:24,2023-12-18 22:37:31,IP Address,144.64.45.177,100,127,True,2023-12-18 22:37:32,R_3ODzA5wtCmU8dHd,,,,,41.7664,-8.5883,anonymous,EN,"Yes, I agree to participate.",5f0f18d9a168ea04d704bbbf,English,Undergraduate degree (BA/BSc/other),Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Not Related,Not Related,Very Related,Somewhat Related,Very Related,Very Related,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Not Related,Not Related,Very Related,Somewhat Related,Not Related,Somewhat Related,5f0f18d9a168ea04d704bbbf
2023-12-18 22:35:35,2023-12-18 22:39:10,IP Address,94.6.93.180,100,215,True,2023-12-18 22:39:10,R_2qCY42DpjcV61rG,,,,,51.2539,0.5327,anonymous,EN,"Yes, I agree to participate.",587b7ab8c192390001d60136,English,Undergraduate degree (BA/BSc/other),Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Very Related,Not Related,Not Related,Not Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Not Related,Very Related,587b7ab8c192390001d60136
2023-12-18 22:34:46,2023-12-18 22:39:16,IP Address,172.219.92.194,100,269,True,2023-12-18 22:39:17,R_7Htcdf4zoENOaHK,,,,,53.4213,-113.586,anonymous,EN,"Yes, I agree to participate.",5cca48763e74d8001719b30b,English,Undergraduate degree (BA/BSc/other),Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Not Related,Very Related,Very Related,Not Related,Somewhat Related,Very Related,Very Related,Very Related,Very Related,Not Related,Very Related,Not Related,Very Related,Not Related,Very Related,Not Related,Not Related,Somewhat Related,5cca48763e74d8001719b30b
2023-12-18 22:35:27,2023-12-18 22:39:57,IP Address,89.64.54.1,100,270,True,2023-12-18 22:39:58,R_2t50MJ13XJWI3Q2,,,,,50.0585,19.9342,anonymous,EN,"Yes, I agree to participate.",603e2530ab9d37d734fa6ca9,English,Undergraduate degree (BA/BSc/other),Very Related,Very Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Very Related,Somewhat Related,Not Related,Very Related,Not Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,603e2530ab9d37d734fa6ca9
2023-12-18 22:36:40,2023-12-18 22:41:10,IP Address,181.43.209.74,100,270,True,2023-12-18 22:41:10,R_31F2jLjzm1OuQW5,,,,,-33.4521,-70.6536,anonymous,EN,"Yes, I agree to participate.",5f264332488e13372281c1c8,English,Undergraduate degree (BA/BSc/other),Somewhat Related,Very Related,Very Related,Not Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Very Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,5f264332488e13372281c1c8
2023-12-18 22:38:14,2023-12-18 22:41:34,IP Address,80.41.76.248,100,200,True,2023-12-18 22:41:35,R_2NmGekseqYFW6LX,,,,,51.2687,0.5783,anonymous,EN,"Yes, I agree to participate.",5cbdded9fe974000014c9acc,English,Undergraduate degree (BA/BSc/other),Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Not Related,Very Related,Not Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Very Related,5cbdded9fe974000014c9acc
2023-12-18 22:36:32,2023-12-18 22:42:22,IP Address,46.8.173.80,100,350,True,2023-12-18 22:42:22,R_8w69DYt54SYv32j,,,,,40.4172,-3.684,anonymous,EN,"Yes, I agree to participate.",5ff770a55da4c74077bd26ad,English,Undergraduate degree (BA/BSc/other),Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Not Related,Very Related,Very Related,Very Related,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Not Related,Very Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Not Related,Not Related,Somewhat Related,5ff770a55da4c74077bd26ad
2023-12-18 22:37:34,2023-12-18 22:42:35,IP Address,177.249.169.128,100,300,True,2023-12-18 22:42:36,R_7Hpger4YMmSgBRc,,,,,20.6381,-103.348,anonymous,EN,"Yes, I agree to participate.",613abafe634a3ee4b0ebc8fc,English,Undergraduate degree (BA/BSc/other),Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Not Related,Very Related,Not Related,Very Related,Not Related,Very Related,Not Related,Somewhat Related,Very Related,613abafe634a3ee4b0ebc8fc
