algorithm,dataset,cpu_mean,cpu_variance,gpu_mean,gpu_variance
hdp,ai,7.7553719008264475,60.51282506887056,,
hdp,cancer,8.709734513274336,69.22642225031605,,
hdp,cordis,13.966666666666667,87.77166666666665,,
hlda,ai,7.389432106126099,1.1661087778675123,,
hlda,cancer,7.2730410228253195,1.0732981016272942,,
hlda,cordis,7.261836441893831,1.2738257927955603,,
hyperminer,ai,2.6003422313483915,3.7458560471810305,17.62259281318245,736.4379565007877
hyperminer,cancer,2.669111709286675,3.8472674932365742,16.43370435461824,623.5058091071589
hyperminer,cordis,2.437462686567164,8.330896392477076,7.472546476437527,133.91457902303486
traco,ai,2.69101866251944,1.7647384407250861,3.4480286738351253,28.94744990530725
traco,cancer,2.6700598802395215,1.4679446635409452,4.011580967507114,69.00602073664189
traco,cordis,2.7410947002606427,4.480214104937101,2.3675149700598803,12.960731332443688
