,dataset,algorithm,iter,PCC,PCD,Sibling_TD,PnCD
0,cordis,hpam,0,-0.0923408793582922,0.9644444444444445,0.9554143126177025,0.9657777777777778
1,cordis,hpam,1,-0.05183249837543618,0.941111111111111,0.9265065913371,0.964888888888889
2,cordis,hpam,2,-0.08734824544008592,0.9633333333333334,0.9208757062146895,0.9626666666666667
3,cancer,hpam,0,-0.2462097993567093,0.9956666666666666,0.9774528784272238,0.9947719298245614
4,cancer,hpam,1,-0.273212381606475,0.9980000000000001,0.9804793264568457,0.9966315789473684
5,cancer,hpam,2,-0.2717643469044447,0.9966666666666666,0.9814288988803668,0.9966140350877194
6,ai,hpam,0,-0.16038592778503805,0.9910000000000001,0.9687732963060919,0.9912631578947368
7,ai,hpam,1,-0.16453873022732793,0.9893333333333334,0.957675394516442,0.9912631578947368
8,ai,hpam,2,-0.18102107342316923,0.9926666666666667,0.9821726174733316,0.9928771929824561
9,cordis,hlda,0,-0.07213179474683545,0.9466666666666664,0.9821726174733316,0.0
10,cordis,hlda,1,-0.06131231601851533,0.9466666666666668,0.9821726174733316,0.0
11,cordis,hlda,2,-0.06654007827361504,0.9587301587301588,0.9821726174733316,0.0
12,cancer,hlda,0,-0.20634376178643685,0.957446808510638,0.9821726174733316,0.0
13,cancer,hlda,1,-0.18358567388869637,0.9658119658119657,0.9821726174733316,0.0
14,cancer,hlda,2,-0.2434612518957826,0.9418439716312051,0.9821726174733316,0.0
15,ai,hlda,0,-0.2087307813935417,0.9574468085106378,0.9821726174733316,0.0
16,ai,hlda,1,-0.16855437691208258,0.9815602836879435,0.9821726174733316,0.0
17,ai,hlda,2,-0.17135328179267523,0.9452991452991453,0.9821726174733316,0.0
